category,dbi_id,subject_name,target_entity_id,source_contact_count,source_contact_ids,reason,note
A_ONE_CONTACT,520,a taste of china inc,5,1,8194,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,521,bonded permanent jewelry,29,1,10819,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,523,henry tobacco inc,156,1,8710,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,525,creckz llc,60,1,13296,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,539,skysworn consulting llc,58,1,12046,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,541,durga shakti llc,149,1,8713,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,545,mignard company llc,52,1,13635,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,550,robbins refrigeration,104,1,11865,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,559,sandeep nayyar corporation,120,1,8566,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,562,a shear experience inc,157,1,8492,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,566,someday legacy,90,1,12922,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,567,jerajh inc,122,1,8023,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
A_ONE_CONTACT,568,welcome valley properties llc,102,1,13177,HELD_SINGLE_SOURCE_CONTACT_FIRST_BATCH_POLICY,valid under the deployed service contract; outside this batch only
