dbi_id,identifier_hash,subject_name,subject_type,proposed_relationship_entity_id,proposed_entity_name,first_year,last_year,return_count,return_types,drake_return_ids,source_contact_ids,source_record_ids,source_contact_count,provenance_form,complete_coverage,expected_esl_inserts,expected_trust_level,expected_confirmation_source,expected_evidence_method,dbi_row_sha256,target_entity_sha256
518,02193c5693121b92c6a8fc6e5a013a684e576cb6087b424a47fd26730aa40f38,10 talents llc,business_entity,2,10 TALENTS LLC,2023,2025,3,1120S,542|2866|3611,11416|12591|13581,2023:2866:taxpayer|2024:3611:taxpayer|2025:542:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,d56709b41466dc03771066cdcbe50be36d826b83100d329450fc93dbdf4818b0,9043cffbaf9068baf6f5a5087e3cd56b0875309566f0d8f074d2ab86f5c623a7
519,05c204f43f176d26c26f273b8886026fa1079b33f6fb2f64ae9ad17675ba6ad2,hair by heidi llc,business_entity,34,Hair By Heidi LLC,2023,2025,3,1120S,490|2800|3551,11307|12492|13497,2023:2800:taxpayer|2024:3551:taxpayer|2025:490:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,39ba0c2d3eb46b158314eae3cb13ffb03fe3392d5ab8d89d0506096119b4705c,120e528ff0b4a828b2a54e7261e57ebc0163713e174267fdf0702d95e2fdca87
522,08d039dea53ade11c0e18e1e0e7ce32455ac504fbdb5fa499e0a3c24e9ca9c90,robert clements ii llc,business_entity,44,ROBERT CLEMENTS II LLC,2023,2025,3,1120S,415|2702|3459,11146|12342|13377,2023:2702:taxpayer|2024:3459:taxpayer|2025:415:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,a98d99c208b87bf708ac17303b01e7ae63afc00eeeb55f35e596d8604660aa51,f84b666842a4ddf0b7a9795cba577362835bf44958f4ba0c66a152a872933688
527,12d1eb1eca074088c09aab133cbd1f2e9cd5264b6f71965fbe9c12c38f9d8633,pancke llc,business_entity,99,Pancke LLC,2023,2025,3,1120S,589|2920|3662,11501|12669|13655,2023:2920:taxpayer|2024:3662:taxpayer|2025:589:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,bcfb47ad990d85be57654ce46424c31eccfebd943d11fbff50f78d620a4f10f7,4fa0ad45b85d1a76c6238abb8bea8ee6784b3c07aecafb7a24c036b3df207ae0
534,23357e5868177a618796a95b708c9ae9a77cd52279c67e2a9f9d2a3e7753e349,on main llc,business_entity,94,ON MAIN LLC,2021,2024,4,1065,734|1470|2245|3077,8070|9227|10442|11753,2021:734:taxpayer|2022:1470:taxpayer|2023:2245:taxpayer|2024:3077:taxpayer,4,details.source_contact_ids,True,4,identifier_verified,machine,drake_entity_provenance,6669a4c1dc4ca533f9cf26137b05c9dc5d866a2938c9cb8bb544c03fe78fb749,97b0fd7c1cf7467d8dd12582e0c36bbf3010fac2cde6607fe37e7bb0c343fb14
537,2dc9f2f245e36e3212cb79973f396418f7b36eb14997eab721734dc0fc0bd49a,star city hvac llc,business_entity,42,STAR CITY HVAC LLC,2024,2025,2,1120S,409|3450,12330|13369,2024:3450:taxpayer|2025:409:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,c30e0f74dc96b1b004672d90a1386262c22723a5200cd30a5127e2a2431b4a8f,d291d287aa44e6e6676b63dd739c151c9349f35beed4571e641a1f4f762fd4e3
538,2f30326289ecc1aca09524623b79d033a7affc08dc30b923fa7bf04de63e31c4,integrity coatings llc,business_entity,48,INTEGRITY COATINGS LLC,2023,2025,3,1120S,453|2751|3503,11227|12415|13439,2023:2751:taxpayer|2024:3503:taxpayer|2025:453:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,b59cc7e2c3a6a4faac53416772c4579611416eb363cb34c36dce97e8e1e74a5f,8beafeed2d3a208a6db9d80a72e7aa480715c314e39a3bb097569787d11f4362
540,30061c644de4a64dfddefe5ca1924e55d65404f9bb1a32560c99cdf43741f23b,mcpherson tile and stone llc,business_entity,96,MCPHERSON TILE AND STONE LLC,2024,2025,2,1120S,395|3436,12308|13347,2024:3436:taxpayer|2025:395:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,f5d7132adeed78a911ee1eaafec3cb4e529ec40ad318cd7ad697b5b00e41ef05,f1045847c707709a960af835c7c16966ce5b8ebe02a9959225088b92ba93eb70
542,38885a7990da455ab5e2917844577c1169ae0b43538c8dc3611bce00bde36e4b,slick's rod shop,business_entity,106,SLICK'S ROD SHOP,2021,2025,5,1065,306|1000|1753|2556|3336,8484|9660|10914|12151|13202,2021:1000:taxpayer|2022:1753:taxpayer|2023:2556:taxpayer|2024:3336:taxpayer|2025:306:taxpayer,5,details.source_contact_ids,True,5,identifier_verified,machine,drake_entity_provenance,751f360fb951d9a69d6497cbfdb0558ad6e57ec962975bcfe4f337a041a1e460,bca9e5138cabcf77232518ed72018f508733ef3eaa75bf78a2b9f50e1290074f
546,3df00aab0865536f54b3a75e5f17b7956c9f970bffd58b8951fce64b8c4606c8,michael & karen partnership,business_entity,86,MICHAEL & KAREN PARTNERSHIP,2022,2024,3,1065,1898|2718|3472,9886|11172|12363,2022:1898:taxpayer|2023:2718:taxpayer|2024:3472:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,4998d166a3eb337ca058cce7dc7d673b4d12510bd4a2f8c676c58d769d6870c6,f0f8fad340e745349e20ac0a6adfe9d9b8877ebbd2545adb47d7ebd143d84357
