dbi_id,identifier_hash,subject_name,subject_type,proposed_relationship_entity_id,proposed_entity_name,first_year,last_year,return_count,return_types,drake_return_ids,tax_years,source_contact_ids,source_record_ids,source_contact_count,provenance_form,provenance_covered_contacts,missing_source_contact_ids,missing_years,coverage_numerator,coverage_denominator,complete_coverage,document_evidence_count,document_occurrences,document_years,document_covers_missing_year,contradiction_count,expected_esl_inserts,expected_trust_level,expected_confirmation_source,expected_evidence_method,dbi_row_sha256,target_entity_sha256
524,0d32a533c8a7fe8a2be011cde0a24efac188e4b9eb87faf39888f9083823908d,nelwyn c morris llc,business_entity,36,NELWYN C MORRIS LLC,2022,2023,2,1120S,1704|2500,2022|2023,9585|10831,2022:1704:taxpayer|2023:2500:taxpayer,2,details.source_contact_ids,10831,9585,2022,1,2,False,3,17,2022,True,0,2,identifier_verified,machine,drake_entity_provenance,d8083075de838a80cd2a4f62ae2576d51f5ce6d6f351a5cd8ee32516c2eec3c0,4ee5635247bd7fcd18299f64f87e0e4c84d64df5521999e11e51c04aefce3c73
526,122807ed9ab5cf126c22d1783fa4e7d2ab97c7a940f82c5997757ffb47b5087b,tanell llc,business_entity,112,TANELL LLC,2021,2023,3,1120S,1110|1865|2680,2021|2022|2023,8653|9834|11110,2021:1110:taxpayer|2022:1865:taxpayer|2023:2680:taxpayer,3,details.source_contact_ids,11110,8653|9834,2021|2022,1,3,False,5,50,2020|2021,True,0,3,identifier_verified,machine,drake_entity_provenance,fa78baf658553a412f9a969f70da98c8c31cb7f4e0bcb7fb83e3ea78c316c23b,0b68b5d84ffd3c33962048e9fe71ebe882c2c559733e101768d0baeb5aa9e3d2
528,1412bd2d1713a1472e040e2e8a81c25de99e20b5a6c53359f92992d07c0822ab,decked out boathouse inc,business_entity,28,Decked Out Boathouse Inc,2021,2025,5,1120S,952|1701|2497|3284|264,2021|2022|2023|2024|2025,8413|9581|10827|12072|13138,2021:952:taxpayer|2022:1701:taxpayer|2023:2497:taxpayer|2024:3284:taxpayer|2025:264:taxpayer,5,details.source_contact_ids,10827|12072|13138,8413|9581,2021|2022,3,5,False,6,41,2022|2023,True,0,5,identifier_verified,machine,drake_entity_provenance,7c9edb0ecc3117853498e6e44a329b59e96a657d2213d82961a79c128b4cb2ae,b5be100b46127eee8d6c674b26999ee9e072bae21ceae9a9f536eb76e8f08882
530,17cfdd0f0bd08980d49d2cf5c04f919cf4ad34b592a211832efe1ddfe0155323,sunderam inc,business_entity,111,SUNDERAM INC,2021,2025,5,1120S,766|1506|2283|3102|116,2021|2022|2023|2024|2025,8119|9279|10498|11792|12909,2021:766:taxpayer|2022:1506:taxpayer|2023:2283:taxpayer|2024:3102:taxpayer|2025:116:taxpayer,5,details.source_contact_ids,10498|11792|12909,8119|9279,2021|2022,3,5,False,17,107,2019|2020|2021|2022|2023,True,0,5,identifier_verified,machine,drake_entity_provenance,6e2856c826a669e8a2e99514825a33d860c31674c9793ddcde00584852c23327,060b955a12fac4c651f18a49e8afec3ac6233f9e1c355ea66c3b8bd486bf11ea
536,2d01a7fc6a2c7f8c83f9d7f234333d4ee9db6657ebcd4c7586f54cbb433f8078,mary mckay and co inc,business_entity,46,MARY MCKAY AND CO INC,2021,2025,5,1120S,924|1666|2459|3250|231,2021|2022|2023|2024|2025,8367|9527|10770|12021|13088,2021:924:taxpayer|2022:1666:taxpayer|2023:2459:taxpayer|2024:3250:taxpayer|2025:231:taxpayer,5,details.source_contact_ids,10770|12021|13088,8367|9527,2021|2022,3,5,False,2,26,2021|2022,True,0,5,identifier_verified,machine,drake_entity_provenance,839584305a09b6eb887eb04a10882d9a25eba185d76661622e7339ed565ee0a1,cf29ff31ef5aeab89c1a9a8857b7324ba4665cd2131b86f299c75f714d6cb46a
543,39aeb087f21caeb66a0909d1b8f43f65243b32b850f8b62ef22c734c66560a1b,rjh inc,business_entity,105,RJH INC,2021,2023,3,1120S,879|1614|2404,2021|2022|2023,8295|9443|10682,2021:879:taxpayer|2022:1614:taxpayer|2023:2404:taxpayer,3,details.source_contact_ids,10682,8295|9443,2021|2022,1,3,False,36,208,2018|2019|2020|2021|2022,True,0,3,identifier_verified,machine,drake_entity_provenance,19afe77c01bc38b2363f647a009501b801e101271d506959ce493a40d11fc765,0ce2b4e07b908fb3318053703e6c6ae2109988c1b7f63bf7cb999ca1495b5edf
544,3ae446fdd98ba81052163a292425f518c7357040ef420bd788f0eb115792a025,4685 llc,business_entity,4,4685 LLC,2021,2023,3,1120S,1018|1770|2576,2021|2022|2023,8511|9686|10945,2021:1018:taxpayer|2022:1770:taxpayer|2023:2576:taxpayer,3,details.source_contact_ids,10945,8511|9686,2021|2022,1,3,False,2,27,2021,True,0,3,identifier_verified,machine,drake_entity_provenance,a7021236581216dd5f1be4eca1e79ae31100395aa3512eb0a3dfeef67a2394bc,ffe79bfe370e64b49392bbcd4cf3ff00efe081476d891712b57704121d899756
551,468d2deb6e650bff8b9550cf6c1a886487e695421c92e1e1ce5daf30c491e764,mac westland real estate,business_entity,70,Mac Westland Real Estate,2021,2023,3,1120S,666|1409|2168,2021|2022|2023,7966|9131|10321,2021:666:taxpayer|2022:1409:taxpayer|2023:2168:taxpayer,3,details.source_contact_ids,10321,7966|9131,2021|2022,1,3,False,8,50,2021|2022,True,0,3,identifier_verified,machine,drake_entity_provenance,3752ee21714b6d0f06d465ab263c0588006474bb45d6a0466fcff88ccd311e59,c86d18916f6aa8289571a45a841afa514a3e882f8a82010766d10026eeaaee6d
553,4a55867227b559fea64777e5c1fe1126efb7b1cf175c3ea907a3e4c6b0cf0754,newton & sullivan law,business_entity,89,NEWTON & SULLIVAN LAW,2022,2023,2,1120S,1503|2280,2022|2023,9275|10494,2022:1503:taxpayer|2023:2280:taxpayer,2,details.source_contact_ids,10494,9275,2022,1,2,False,4,31,2022,True,0,2,identifier_verified,machine,drake_entity_provenance,58780173fa0e0594877c50d94631579514a5b3bca209b65dd3a3c80fc5670742,5fb2f69bb674eea8a9031a8cecf5d8d811c7f385b7c72ac9abe38e32a2e71d9f
558,5703a6e1ad8a4b3baaa9c8fe3c9e3cdae9c141e42b9eaef8f9c022f7aa844a17,simba inc,business_entity,108,SIMBA INC,2021,2023,3,1120S,1038|1798|2605,2021|2022|2023,8540|9729|10990,2021:1038:taxpayer|2022:1798:taxpayer|2023:2605:taxpayer,3,details.source_contact_ids,10990,8540|9729,2021|2022,1,3,False,2,26,2021,True,0,3,identifier_verified,machine,drake_entity_provenance,14422cf2a27c1bae5648974ad52e622a9f444eba9517b136c231dcb6b6cdcba5,52e3981fb6db6d9b83cb230da41a5530463e28c8c23f4133d4faa402337a8834
